B,C,D,E,F,G,H,I,J,K,L,N
1,3263.117,3266.973273,17.58,75.09540636,31.39373488,45.9626447,-19.00317752,-24.90459364,9.88973122,94.49497292,3305.44
1,3262.308,3270.001091,32.06,71.95535714,37.99980737,48.48484848,-15.88317588,-28.04464286,92.52221882,105.575938,3279.77
1,3263.223,3269.010545,-10.98,51.5,41.5320506,51.83197854,-15.06732525,-48.5,84.89457311,7.840534921,3256.86
1,3262.586,3268.691818,23.45,55.61607143,43.72237118,48.6401093,-15.54601316,-44.38392857,59.39643347,1.347095103,3261.47
1,3263.535,3265.950727,27.63,43.15178571,46.38976337,52.17311656,-15.65101613,-56.84821429,65.12788522,-53.63791263,3247.51
1,3263.888,3258.655273,-26.97,21.63392857,47.95380355,50.78685747,-16.70969881,-78.36607143,85.87047939,-134.2934651,3223.41
1,3267.095,3262.030182,2.62,69.04428402,51.82685244,56.34170457,-18.00031183,-30.95571598,11.96536342,27.19323718,3282.45
1,3268.021,3266.029273,10.96,76.19868549,54.64755408,52.01269344,-15.13407579,-23.80131451,71.75615213,94.73787745,3289.09
1,3270.412,3272.214545,45.96,84.14965302,58.36451283,54.95461892,-12.13766649,-15.85034698,92.97935103,127.8838345,3302.04
1,3275.126,3278.179636,-2.22,85.33641758,63.36815893,60.69322203,-8.845208931,-14.66358242,19.96565049,78.16550806,3303.22
1,3275.302,3284.011273,27.43,89.33923363,64.79254166,50.50274223,-6.040612259,-10.66076637,33.82663848,88.66981453,3307.2
1,3279.542,3292.532727,65.31,84.22590068,66.01959601,62.90008519,-3.324457604,-15.77409932,83.21917808,124.4016086,3322.17
1,3282.048,3292.965091,20.45,51.56604998,66.02620101,56.89674152,-0.788996747,-48.43395002,92.29754682,24.10839095,3281.92
1,3281.949,3289.043636,12.97,34.16910094,63.88150396,49.75064229,-1.600388325,-65.83089906,95.60700505,-41.58715013,3260.48
1,3284.932,3288.205636,53.93,47.84972412,64.3512978,57.40529269,-3.322242609,-52.15027588,18.65788648,-53.21860428,3277.34
1,3290.957,3287.974364,1.21,37.49325855,65.9372308,66.40527147,-3.486485944,-62.50674145,70.47294418,-12.78625136,3283.66
1,3290.439,3285.485818,-11.82,28.67753021,61.90055542,48.02259887,-3.267171547,-71.32246979,92.87841863,-34.38612889,3277.27
1,3286.01,3277.187818,-57.24,4.573681617,54.73805503,35.87781391,-3.917226501,-95.42631838,85.51358102,-158.7723163,3244.8
1,3278.416,3266.295091,-77.12,23.78093039,48.70118277,26.64247047,-6.69770239,-76.21906961,21.2928587,-187.0112522,3226.1
1,3267.129,3250.283091,-116.85,2.526098724,40.42015088,21.37168366,-10.48800582,-97.47390128,94.04707669,-148.1092999,3190.35
1,3251.715,3229.543273,-169.11,5.117753623,31.99800288,16.55528554,-16.13421197,-94.88224638,74.10236822,-170.5052388,3153.06
1,3232.086,3206.664182,-156.04,5.238355077,24.09924832,9.552853905,-23.12976648,-94.76164492,77.50798722,-148.7047462,3125.88
1,3219.385,3192.632182,-105.57,25.28624192,21.47126752,22.55973729,-29.66491423,-74.71375808,7.701381867,-110.409988,3154.91
1,3204.345,3172.758545,-167.26,4.58910434,18.51326786,20.48897261,-33.22704404,-95.41089566,93.80395166,-100.2316264,3110.08
1,3187.435,3155.284909,-175.42,9.469844992,14.67527994,14.74145121,-38.53144146,-90.53015501,46.63567409,-95.47502405,3108.24
1,3167.56,3136.644,-192.36,13.65991163,12.29194525,11.30407694,-42.69622215,-86.34008837,45.74065668,-104.8368619,3084.91
1,3151.951,3128.211273,-123.62,32.32499776,12.65669201,22.77721581,-46.44955073,-67.67500224,30.64903846,-55.18476798,3121.18
1,3146.764,3135.662,-33.17,70.79663436,19.27898728,42.04374636,-45.50320264,-29.20336564,5.961683892,45.5962284,3192.93
1,3144.169,3145.368545,9.8,74.34925946,24.33582019,45.87427263,-39.52400682,-25.65074054,31.3784968,109.9793166,3200.15
1,3147.007,3158.925091,65.67,96.29419443,33.71262976,54.77263554,-33.65801335,-3.705805573,39.14868106,148.1984281,3218.73
1,3145.737,3157.716545,14.48,51.81885251,38.38273965,48.12352246,-28.60466695,-48.18114749,96.43357534,38.45917655,3140.36
1,3147.191,3156.749818,-14.49,51.85290279,43.04419442,52.33551786,-29.37468365,-48.14709721,6.440426059,-31.95873574,3140.42
1,3146.058,3156.093273,33.5,53.64621758,45.88019198,48.01513612,-29.59330447,-46.35378242,84.72600078,6.998963435,3143.58
1,3146.729,3150.771818,8.55,38.44276715,49.26555826,51.25481542,-29.60758197,-61.55723285,94.46045469,-39.91237678,3116.79
1,3147.449,3145.082909,30.53,37.67663583,52.08623735,51.34892086,-31.03277078,-62.32336417,47.52633259,-65.05416879,3115.44
1,3143.83,3127.132182,-72.46,4.794261986,51.19967238,44.16798272,-32.84256928,-95.20573801,86.75111773,-154.3808125,3048.72
1,3139.807,3115.699455,-111.98,23.12486682,50.27965929,43.43140777,-37.74197604,-76.87513318,16.61544372,-119.9724506,3080.95
1,3132.213,3111.550909,-83.16,42.32367356,47.43236321,35.9640692,-38.5420855,-57.67632644,8.159252888,-48.64356952,3116.99
1,3127.314,3114.995818,-67.57,60.52631579,46.05006884,41.76555619,-35.9002955,-39.47368421,11.21177803,28.35999474,3151.16
1,3122.211,3122.338727,27.34,72.90651431,43.71130083,41.36343635,-30.96637719,-27.09348569,3.90625,84.03226557,3167.7
1,3129.699,3139.253091,74.82,96.38750271,48.16816585,64.14965986,-24.9887384,-3.612497288,16.23202535,176.4467919,3215.24
1,3133.143,3147.464182,31.28,74.48470384,50.43134596,55.64738292,-17.51726546,-25.51529616,94.06641263,99.86964133,3174.86
1,3132.91,3148.938182,24.46,56.25406813,50.69213101,49.65262248,-14.57185322,-43.74593187,61.8215515,24.06800059,3141.25
1,3124.764,3131.196364,-80.11,6.789568345,47.52681113,40.17370326,-15.81147779,-93.21043165,88.23376623,-97.59017388,3035.33
1,3113.007,3108.124727,-50.85,13.47854633,45.10700218,36.95435077,-24.02732068,-86.52145367,58.98942421,-140.9645987,2997.87
1,3107.873,3087.101636,-83.57,17.82747136,46.41032312,43.32171289,-32.63231181,-82.17252864,30.40434348,-130.763602,2997.38
1,3103.01,3073.364727,-84.67,30.61523259,47.1593597,43.71851507,-38.5284994,-69.38476741,13.61399672,-79.68551376,3032.32
1,3089.761,3051.817455,-166.66,13.11349413,44.23834175,33.39183193,-41.12714942,-86.88650587,68.58429215,-87.86415664,2984.5
1,3074.342,3034.946364,-170.73,17.67741463,39.95345164,29.55961503,-45.62515317,-82.32258537,31.13264688,-69.01939443,2996.97
1,3056.126,3018.800545,-229.7,13.49412583,34.01221279,25.52007741,-47.98270993,-86.50587417,47.6172466,-66.67442261,2985.54
1,3029.335,2999.019455,-227.53,1.458811144,24.51934363,13.07032779,-50.57952862,-98.54118886,94.08175717,-77.81290086,2947.33
1,3005.572,2982.273091,-204.02,2.105399122,17.28141316,14.2607911,-54.67123703,-97.89460088,87.98230523,-105.1772502,2937.23
1,2983.85,2967.447273,-111.3,6.874863507,12.3434927,15.19356493,-58.10237281,-93.12513649,46.27986348,-164.5090213,2924.03
1,2973.988,2958.876364,-61.16,22.46745109,13.91128097,27.46343693,-60.80430809,-77.53254891,15.10128913,-116.6952567,2936.71
1,2969.215,2954.540364,-47.24,34.39710974,16.00313731,37.74708631,-61.20760624,-65.60289026,65.34025375,-45.27096147,2950.14
1,2965.456,2952.826727,-72.53,41.6603944,18.38642962,40.78360222,-59.81116719,-58.3396056,13.06306306,-30.5212557,2959.79
1,2958.887,2953.040182,-17.87,57.8619278,21.11109914,31.32002502,-57.30749591,-42.1380722,7.818791946,-5.997989113,2966.63
1,2957.984,2956.055273,-21.5,67.92579134,26.59232886,46.70076726,-54.11896378,-32.07420866,63.52715041,69.67248979,2975.47
1,2957.587,2962.421818,7.46,84.68968155,33.29355555,48.60122613,-50.17394007,-15.31031845,28.42797784,119.846881,2993
1,2957.107,2966.631455,33.41,72.96547767,39.24069074,48.31862127,-45.54623981,-27.03452233,91.00572363,111.699358,2980.74
1,2958.534,2967.448364,24.37,57.99512987,44.89432261,55.76938627,-42.47794053,-42.00487013,77.15721865,36.32896898,2961.6
1,2959.811,2965.896727,25.97,46.22564935,49.30634763,55.10106255,-41.00573388,-53.77435065,63.93442623,-28.56869395,2950
1,2961.686,2962.800182,6.07,38.90016234,52.50887751,57.86559275,-40.24585053,-61.09983766,73.84766263,-60.12865958,2942.78
1,2964.077,2962.606364,10.48,37.87745529,54.04987793,59.61399276,-39.40404917,-62.12254471,24.20524261,-35.32117543,2960.62
1,2968.457,2968.036,34.15,86.71943712,59.28211067,65.18302829,-36.6492246,-13.28056288,9.703645424,79.53952871,2993.94
1,2973.775,2976.129273,46.34,95.16796495,64.63286773,67.30894415,-31.62450609,-4.832035054,16.85774947,143.8350996,3012.97
1,2982.77,2991.184727,81.11,97.72143774,68.61881872,73.62256421,-25.45421912,-2.278562259,7.110665999,201.3942942,3056.58
1,2989.612,3002.297455,50.89,74.0080038,69.22703997,67.61223229,-17.66953537,-25.9919962,90.63386944,156.8403443,3043.89
1,2996.604,3015.626182,82.18,86.91582446,69.44965426,67.8604271,-11.92094974,-13.08417554,8.201508883,105.000839,3062.92
1,3004.239,3026.623636,95.49,77.60786802,69.91389329,70.16533728,-6.124472356,-22.39213198,93.08889475,102.3495982,3057.09
1,3012.158,3033.269273,90.79,67.26522843,70.84090315,71.23397866,-2.129889317,-32.73477157,76.96579947,56.41393111,3040.79
1,3022.142,3040.120545,107.06,73.00761421,73.51909963,77.14223575,0.091915593,-26.99238579,44.22277639,48.96963476,3049.84
1,3037.533,3053.674727,136.07,96.72957601,79.302041,84.4240662,3.1011757,-3.270423992,9.808102345,103.2382784,3096.69
1,3049.665,3061.748727,88,76.96611555,83.21090703,77.5151955,8.266071506,-23.03388445,88.0981005,134.6797452,3081.94
1,3063.317,3076.438727,117.49,98.06123909,84.34508722,78.96545871,11.95957575,-1.93876091,5.763504892,161.3186551,3130.46
1,3078.445,3094.790182,107.67,95.04332983,84.33262371,80.20525517,18.37251426,-4.956670168,13.73976342,179.5169087,3164.25
1,3090.862,3113.391091,136.86,88.74372433,83.43485237,77.80215843,25.6313331,-11.25627567,47.2688069,165.425519,3180.75
1,3107.111,3134.394364,143.46,92.94141787,85.32819378,84.38941799,32.47449135,-7.058582128,27.65273312,137.0623849,3206.38
1,3119.016,3148.005091,124.88,79.61330983,84.59794232,74.63477217,38.78418079,-20.38669017,86.15548456,97.70122598,3181.97
1,3134.956,3165.727636,175.7,98.02434857,86.63959037,79.48357502,42.19345558,-1.975651431,11.28737035,94.05803172,3216.49
1,3157.097,3188.862909,212.36,94.85358988,89.39842652,86.93490808,47.29894249,-5.146410116,29.58937198,127.6558981,3262.2
1,3182.437,3215.434364,206.55,96.08930063,91.70659516,88.19486314,54.33769197,-3.91069937,23.68905244,148.0702685,3303.24
1,3206.499,3243.593091,255.37,94.87917775,91.52155533,87.72182856,62.40514782,-5.120822247,24.99110637,149.6746624,3337.31
1,3227.26,3258.693273,159.09,76.69394065,91.49433784,79.49424634,69.54523015,-23.30605935,87.87966865,94.85929987,3289.55
1,3245.674,3274.573273,150.35,84.32476227,90.12069016,78.02910375,71.59340094,-15.67523773,32.6146904,79.0749532,3314.6
1,3262.979,3291.232545,156.55,92.70065414,89.88642259,77.2614134,74.34604144,-7.299345862,16.66666667,88.74232882,3337.3
1,3280.318,3307.807273,147.76,94.8977484,90.501825,77.28574576,77.3809392,-5.102251601,39.33121019,96.34223853,3354.14
1,3293.344,3318.047636,154.67,85.37783712,89.74546692,71.03682171,79.72200713,-14.62216288,69.348659,74.10088434,3336.64
1,3318.25,3343.081455,214.54,98.12703911,91.59683985,82.80731335,80.87446459,-1.872960889,6.340332697,164.8531669,3431.03
1,3339.697,3363.574182,168.76,90.0901311,90.80341811,81.07090082,87.0145373,-9.9098689,62.21777651,169.9401513,3430.96
1,3358.937,3384.465636,151.36,93.5801217,90.67607129,79.77775026,91.1717572,-6.419878296,33.0893884,139.2138328,3454.6
1,3378.563,3410.022545,162.19,98.41749324,90.90889055,80.0165178,95.58374259,-1.582506763,4.6397885,124.7434877,3499.5
1,3390.97,3425.080182,171.83,78.71122761,89.29209553,68.74339064,100.3285173,-21.28877239,92.51946079,96.44623338,3461.38
1,3406.76,3435.349273,132.85,71.82427267,88.80512874,76.56996702,100.2127678,-28.17572733,73.74141876,59.19027001,3447.45
1,3427.027,3455.442,179.97,95.38853626,89.91150613,79.63791641,99.0835221,-4.611463743,13.69804314,101.7205979,3517.27
1,3448.537,3478.237091,198.26,94.86707908,90.12814863,80.3522041,102.1357349,-5.132920916,28.80600516,142.8639216,3552.4
1,3471.429,3502.695818,246.42,97.54638395,90.39301218,81.08974359,106.100463,-2.453616055,11.36443353,142.7548715,3583.06
1,3498.478,3527.368727,176.1,90.49537893,90.90476636,86.09131908,110.3476559,-9.504621072,54.38967633,152.3082153,3607.13
1,3515.818,3546.632727,173.47,86.79218968,89.77128142,80.63171283,113.9494286,-13.20781032,48.37526205,109.73606,3604.43
1,3532.861,3562.191273,146.79,81.47090492,88.9093588,79.79441278,115.2524435,-18.52909508,88.94382022,95.10473536,3601.39
1,3551.39,3581.651091,140.39,90.58091463,88.6094381,80.7923688,115.3198646,-9.419085368,31.65735568,97.30382169,3639.89
1,3563.674,3594.551091,160.96,82.27695333,86.99538411,72.45539631,116.3166445,-17.72304667,76.37171561,82.02414095,3622.34
1,3578.789,3603.434,165.08,77.89200787,86.91346213,80.82052119,114.4843642,-22.10799213,85.82985386,60.1595945,3612.53
1,3597.012,3612.686909,112.41,84.24978064,88.15601293,86.67632734,111.3526259,-15.75021936,70.55702918,71.59369139,3629.68
1,3607.364,3617.010182,68.39,70.55881092,85.67304039,77.60533333,108.6203664,-29.44118908,60.34569138,48.7680855,3620.79
1,3620.087,3630.149455,96.57,96.99986813,85.8863193,80.11931253,105.5150366,-3.000131874,10.16532618,181.7804955,3679.63
1,3629.407,3640.362727,69.13,70.34816694,83.1664976,75.33710309,105.6709875,-29.65183306,69.35106957,194.2027461,3676.26
1,3640.769,3656.970545,116.32,95.9035465,83.70731436,77.80170304,105.0142546,-4.096453501,26.49338805,177.0478746,3720.75
1,3648.96,3665.256182,84.95,66.450247,81.67312009,67.35013768,105.7075887,-33.549753,61.98174707,88.11943472,3686.34
1,3660.986,3678.472545,81.76,91.36908963,82.66293856,72.40980918,103.3124617,-8.630910374,11.6191904,90.22304795,3721.65
1,3663.888,3679.913273,46.57,44.09128516,78.01397561,55.13519253,101.7982149,-55.90871484,90.44166853,55.510956,3668.91
1,3666.412,3676.948182,35.05,29.38499724,72.72478,54.40734791,95.70022419,-70.61500276,62.64957265,-37.36662642,3647.58
1,3662.117,3659.342364,-60.1,2.785710437,65.21415026,43.94268468,87.30856706,-97.21428956,94.84186371,-141.3041344,3569.58
1,3654.562,3639.708364,-66.66,9.294248402,57.71859704,39.29371085,74.42405095,-90.7057516,58.20491462,-167.1948942,3554.13
1,3650.272,3625.768,-101.74,20.29730481,52.69244642,44.16644003,62.81744432,-79.70269519,41.91885228,-112.8036736,3577.89
1,3649.116,3629.004,-8.19,62.05890525,49.19835014,48.55152366,55.86677238,-37.94109475,9.750331001,-16.76319698,3668.07
1,3654.136,3643.066545,5.71,89.09882375,51.07341582,55.5279038,56.51708276,-10.90117625,14.85473906,74.00954665,3726.46
1,3656.037,3658.634545,53.42,85.14425266,49.99748643,52.24773571,60.38635837,-14.85574734,78.74067573,116.4063363,3739.76
1,3663.847,3678.344182,42.79,95.35990728,52.88845246,59.45200174,63.95568355,-4.640092719,9.043318937,94.40920495,3764.44
1,3669.724,3699.539273,111.51,92.67577023,53.01912052,57.46172012,67.86588754,-7.324229771,48.78476572,113.1559016,3780.42
1,3682.094,3721.882182,145.03,85.70055355,57.18004736,67.50835079,71.37580808,-14.29944645,85.20639937,108.2043872,3792.61
1,3698.867,3746.103273,245.73,93.22483344,63.56403098,73.64859149,74.43719079,-6.775166562,31.8782309,90.33609056,3815.31
