Date,Open,High,Low,Close,EMA12,EMA26
1-Jan-03,3383.85,3396.8,3381.07,3390.12,,
2-Jan-03,3399.72,3407.24,3363.11,3365.06,,
3-Jan-03,3380.44,3386.97,3351.89,3357.54,,
6-Jan-03,3364.72,3364.72,3330.02,3334.89,,
7-Jan-03,3350.18,3352.43,3320.42,3330.5,,
8-Jan-03,3339.89,3362.12,3338.94,3357.87,,
9-Jan-03,3367.34,3388.19,3366.28,3384.2,,
10-Jan-03,3416.92,3416.92,3342.12,3358.99,,
13-Jan-03,3355.07,3356.93,3324.25,3327.16,,
14-Jan-03,3334.94,3341.55,3321.49,3335.35,,
15-Jan-03,3333.2,3359.98,3333.2,3357.69,,
16-Jan-03,3358.47,3377.27,3352.55,3373.52,3356.074167,
17-Jan-03,3377.94,3382.53,3366.24,3370.39,3358.221542,
20-Jan-03,3364.53,3368.08,3338.09,3341.89,3355.77181,
21-Jan-03,3348.32,3356.82,3336.95,3354.14,3355.527039,
22-Jan-03,3364.11,3367.23,3345.62,3357.04,3355.753983,
23-Jan-03,3351.75,3360.37,3324.49,3328.18,3351.617886,
24-Jan-03,3332.02,3340.68,3281.93,3287.86,3342.054203,
27-Jan-03,3283.93,3286.46,3221.69,3247.71,3327.902572,
28-Jan-03,3247.09,3269.13,3209.51,3267.84,3318.893186,
29-Jan-03,3273.78,3275.92,3225.74,3238.02,3306.762209,
30-Jan-03,3246.54,3256.48,3217.37,3219.88,3293.729877,
31-Jan-03,3216.16,3257.48,3199.18,3250.38,3287.227396,
3-Feb-03,3260.04,3283.48,3250.52,3279.83,3286.117786,
4-Feb-03,3283.59,3295.25,3271.75,3278.13,3284.919618,
5-Feb-03,3268.61,3277.09,3239.02,3256.08,3280.593676,3321.163846
6-Feb-03,3253.14,3311.18,3253.14,3305.44,3284.320624,3318.584821
7-Feb-03,3309.46,3309.96,3277.33,3279.77,3283.638031,3316.138545
10-Feb-03,3281.37,3281.42,3252.49,3256.86,3279.621326,3313.58234
11-Feb-03,3269.85,3278.79,3249.63,3261.47,3276.898627,3311.01448
12-Feb-03,3266.26,3268.39,3236.33,3247.51,3272.490333,3308.31779
14-Feb-03,3250.65,3254.04,3218.37,3223.41,3265.128283,3305.294524
17-Feb-03,3248.9,3287.01,3248.9,3282.45,3267.726541,3302.664765
18-Feb-03,3284.04,3301.92,3284.04,3289.09,3270.93106,3300.443406
19-Feb-03,3303.09,3317.8,3300.85,3302.04,3275.597401,3298.704186
20-Feb-03,3301.81,3307.87,3284.58,3303.22,3279.740791,3297.376748
21-Feb-03,3303.33,3313.6,3294.68,3307.2,3283.859672,3296.430553
24-Feb-03,3318.25,3341.61,3318.25,3322.17,3289.606221,3295.952849
25-Feb-03,3316.91,3316.91,3279,3281.92,3288.453288,3295.42788
26-Feb-03,3291.07,3292.69,3259,3260.48,3284.257295,3294.645939
27-Feb-03,3254.84,3283.29,3251.4,3277.34,3283.219701,3293.846102
28-Feb-03,3294.6,3316.74,3269.8,3283.66,3283.285745,3293.106877
3-Mar-03,3301.67,3311.57,3274.64,3277.27,3282.383384,3292.356233
4-Mar-03,3271.06,3272.19,3240.16,3244.8,3276.745876,3291.263508
5-Mar-03,3233.43,3235.85,3190.06,3226.1,3269.148995,3289.715492
6-Mar-03,3252.28,3252.28,3186.43,3190.35,3257.329145,3287.448448
7-Mar-03,3182.16,3182.16,3142.89,3153.06,3241.688774,3284.245271
10-Mar-03,3152.9,3162.27,3115.32,3125.88,3224.317458,3280.050324
11-Mar-03,3117.49,3159.48,3100.14,3154.91,3213.906339,3275.420245
